#frame    X(Å)    Y(Å)    Z(Å)
0          52.820   53.360  102.880
1          53.030   53.550  102.640
2          53.030   53.570  102.920
3          52.930   53.570  102.830
4          52.900   53.390  102.780
5          52.790   53.770  102.630
6          53.180   53.620  102.730
7          52.920   53.730  102.560
8          53.200   53.590  102.890
9          52.880   53.550  102.680
10         52.780   53.420  102.640
11         52.970   53.620  102.620
12         52.730   53.390  102.780
13         52.940   53.620  102.650
14         52.790   53.720  102.710
15         52.930   53.930  102.490
16         52.980   53.790  102.590
17         52.780   53.680  102.540
18         52.920   53.540  102.670
19         53.170   53.770  102.670
20         52.850   53.840  102.650
21         52.880   53.690  102.450
22         52.760   53.810  102.810
23         53.130   54.110  102.860
24         53.110   53.640  102.730
25         53.110   53.340  102.550
26         53.170   53.800  102.600
27         53.070   53.740  102.660
28         52.950   53.840  102.770
29         53.220   53.720  102.800
30         52.890   53.910  102.910
31         53.200   53.770  102.660
32         52.970   53.450  102.710
33         52.920   53.770  102.630
34         53.040   53.800  102.690
35         53.160   53.750  102.530
36         52.900   53.860  102.750
37         52.730   53.960  102.760
38         52.940   54.060  102.580
39         53.020   54.050  102.330
40         52.890   53.840  102.690
41         53.070   54.120  102.630
42         52.840   54.100  102.570
43         52.730   53.970  102.670
44         52.910   54.070  102.490
45         52.880   53.940  102.530
46         52.830   54.060  102.490
47         53.040   53.990  102.690
48         53.120   53.840  102.470
49         52.940   53.670  102.450
