# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0        145            0          435             0        145             0        0            0          0             0
     1        146            0          438             0        146             0        0            0          0             0
     2        148            0          442             0        147             0        1            0          0             0
     3        144            0          430             0        143             0        1            0          0             0
     4        143            0          429             0        143             0        0            0          0             0
     5        136            0          408             0        136             0        0            0          0             0
     6        145            0          433             0        144             0        1            0          0             0
     7        131            0          393             0        131             0        0            0          0             0
     8        148            0          444             0        148             0        0            0          0             0
     9        136            0          408             0        136             0        0            0          0             0
    10        147            0          441             0        147             0        0            0          0             0
    11        136            0          408             0        136             0        0            0          0             0
    12        150            0          450             0        150             0        0            0          0             0
    13        144            0          432             0        144             0        0            0          0             0
    14        142            0          426             0        142             0        0            0          0             0
    15        132            0          396             0        132             0        0            0          0             0
    16        141            0          423             0        141             0        0            0          0             0
    17        142            0          426             0        142             0        0            0          0             0
    18        144            0          432             0        144             0        0            0          0             0
    19        143            0          429             0        143             0        0            0          0             0
    20        144            0          432             0        144             0        0            0          0             0
    21        138            0          414             0        138             0        0            0          0             0
    22        149            0          447             0        149             0        0            0          0             0
    23        138            0          414             0        138             0        0            0          0             0
    24        143            0          429             0        143             0        0            0          0             0
    25        146            0          438             0        146             0        0            0          0             0
    26        138            0          414             0        138             0        0            0          0             0
    27        138            0          414             0        138             0        0            0          0             0
    28        152            0          456             0        152             0        0            0          0             0
    29        140            0          420             0        140             0        0            0          0             0
    30        145            0          435             0        145             0        0            0          0             0
    31        141            0          423             0        141             0        0            0          0             0
    32        141            0          423             0        141             0        0            0          0             0
    33        138            0          414             0        138             0        0            0          0             0
    34        142            0          426             0        142             0        0            0          0             0
    35        145            0          435             0        145             0        0            0          0             0
    36        150            0          450             0        150             0        0            0          0             0
    37        142            0          426             0        142             0        0            0          0             0
    38        141            0          423             0        141             0        0            0          0             0
    39        138            0          414             0        138             0        0            0          0             0
    40        134            0          402             0        134             0        0            0          0             0
    41        143            0          429             0        143             0        0            0          0             0
    42        135            0          405             0        135             0        0            0          0             0
    43        146            0          438             0        146             0        0            0          0             0
    44        147            0          441             0        147             0        0            0          0             0
    45        146            0          436             0        145             0        1            0          0             0
    46        143            0          427             0        142             0        1            0          0             0
    47        150            0          448             0        149             0        1            0          0             0
    48        147            0          439             0        146             0        1            0          0             0
    49        138            0          414             0        138             0        0            0          0             0
