# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0        501            0         1497             0        498             0        3            0          0             0
     1        512            0         1530             0        509             0        3            0          0             0
     2        514            0         1534             0        510             0        4            0          0             0
     3        511            0         1529             0        509             0        2            0          0             0
     4        513            0         1535             0        511             0        2            0          0             0
     5        507            0         1515             0        504             0        3            0          0             0
     6        497            0         1483             0        493             0        4            0          0             0
     7        499            0         1489             0        495             0        4            0          0             0
     8        513            0         1533             0        510             0        3            0          0             0
     9        491            0         1467             0        488             0        3            0          0             0
    10        499            0         1491             0        496             0        3            0          0             0
    11        484            0         1446             0        481             0        3            0          0             0
    12        501            0         1495             0        497             0        4            0          0             0
    13        504            0         1506             0        501             0        3            0          0             0
    14        512            0         1530             0        509             0        3            0          0             0
    15        495            0         1479             0        492             0        3            0          0             0
    16        509            0         1521             0        506             0        3            0          0             0
    17        499            0         1491             0        496             0        3            0          0             0
    18        512            0         1528             0        508             0        4            0          0             0
    19        507            0         1515             0        504             0        3            0          0             0
    20        495            0         1477             0        491             0        4            0          0             0
    21        498            0         1490             0        496             0        2            0          0             0
    22        513            0         1533             0        510             0        3            0          0             0
    23        506            0         1512             0        503             0        3            0          0             0
    24        506            0         1514             0        504             0        2            0          0             0
    25        505            0         1511             0        503             0        2            0          0             0
    26        497            0         1489             0        496             0        1            0          0             0
    27        488            0         1460             0        486             0        2            0          0             0
    28        506            0         1514             0        504             0        2            0          0             0
    29        520            0         1552             0        516             0        4            0          0             0
    30        500            0         1494             0        497             0        3            0          0             0
    31        503            0         1503             0        500             0        3            0          0             0
    32        494            0         1478             0        492             0        2            0          0             0
    33        502            0         1500             0        499             0        3            0          0             0
    34        502            0         1502             0        500             0        2            0          0             0
    35        509            0         1521             0        506             0        3            0          0             0
    36        508            0         1520             0        506             0        2            0          0             0
    37        498            0         1490             0        496             0        2            0          0             0
    38        510            0         1526             0        508             0        2            0          0             0
    39        494            0         1476             0        491             0        3            0          0             0
    40        482            0         1440             0        479             0        3            0          0             0
    41        501            0         1497             0        498             0        3            0          0             0
    42        483            0         1441             0        479             0        4            0          0             0
    43        515            0         1539             0        512             0        3            0          0             0
    44        504            0         1504             0        500             0        4            0          0             0
    45        524            0         1564             0        520             0        4            0          0             0
    46        502            0         1498             0        498             0        4            0          0             0
    47        504            0         1504             0        500             0        4            0          0             0
    48        509            0         1517             0        504             0        5            0          0             0
    49        491            0         1465             0        487             0        4            0          0             0
