# Average electric field magnitude vs. solvent cutoff
#Cutoff(Å)  AvgMagnitude(MV/cm)  StdDev(MV/cm)
     1.0           19.069295      2.746493
     3.0           19.069295      2.746493
     5.0           19.069295      2.746493
     7.0           19.069295      2.746493
     9.0           19.266944      2.765442
    11.0           19.932849      2.828493
    13.0           20.136594      2.825527
    15.0           20.112535      2.935470
    17.0           20.248951      2.889442
    19.0           20.250136      3.015274
    21.0           20.558552      2.968885
    23.0           21.034847      3.237761
    25.0           21.895030      3.380290
    27.0           22.446648      3.223792
    29.0           23.381442      3.168253
