# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0          3            0            9             0          3             0        0            0          0             0
     1          2            0            6             0          2             0        0            0          0             0
     2          3            0            9             0          3             0        0            0          0             0
     3          2            0            6             0          2             0        0            0          0             0
     4          3            0            9             0          3             0        0            0          0             0
     5          1            0            3             0          1             0        0            0          0             0
     6          1            0            3             0          1             0        0            0          0             0
     7          2            0            6             0          2             0        0            0          0             0
     8          4            0           12             0          4             0        0            0          0             0
     9          2            0            6             0          2             0        0            0          0             0
    10          3            0            9             0          3             0        0            0          0             0
    11          1            0            3             0          1             0        0            0          0             0
    12          3            0            9             0          3             0        0            0          0             0
    13          3            0            9             0          3             0        0            0          0             0
    14          2            0            6             0          2             0        0            0          0             0
    15          4            0           12             0          4             0        0            0          0             0
    16          2            0            6             0          2             0        0            0          0             0
    17          2            0            6             0          2             0        0            0          0             0
    18          3            0            9             0          3             0        0            0          0             0
    19          3            0            9             0          3             0        0            0          0             0
    20          2            0            6             0          2             0        0            0          0             0
    21          3            0            9             0          3             0        0            0          0             0
    22          3            0            9             0          3             0        0            0          0             0
    23          4            0           12             0          4             0        0            0          0             0
    24          3            0            9             0          3             0        0            0          0             0
    25          2            0            6             0          2             0        0            0          0             0
    26          1            0            3             0          1             0        0            0          0             0
    27          1            0            3             0          1             0        0            0          0             0
    28          2            0            6             0          2             0        0            0          0             0
    29          1            0            3             0          1             0        0            0          0             0
    30          4            0           12             0          4             0        0            0          0             0
    31          3            0            9             0          3             0        0            0          0             0
    32          3            0            9             0          3             0        0            0          0             0
    33          3            0            9             0          3             0        0            0          0             0
    34          3            0            9             0          3             0        0            0          0             0
    35          4            0           12             0          4             0        0            0          0             0
    36          2            0            6             0          2             0        0            0          0             0
    37          4            0           12             0          4             0        0            0          0             0
    38          3            0            9             0          3             0        0            0          0             0
    39          2            0            6             0          2             0        0            0          0             0
    40          4            0           12             0          4             0        0            0          0             0
    41          3            0            9             0          3             0        0            0          0             0
    42          2            0            6             0          2             0        0            0          0             0
    43          2            0            6             0          2             0        0            0          0             0
    44          2            0            6             0          2             0        0            0          0             0
    45          2            0            6             0          2             0        0            0          0             0
    46          2            0            6             0          2             0        0            0          0             0
    47          4            0           12             0          4             0        0            0          0             0
    48          4            0           12             0          4             0        0            0          0             0
    49          3            0            9             0          3             0        0            0          0             0
