# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0         10            0           30             0         10             0        0            0          0             0
     1          9            0           27             0          9             0        0            0          0             0
     2         12            0           36             0         12             0        0            0          0             0
     3         11            0           33             0         11             0        0            0          0             0
     4         11            0           33             0         11             0        0            0          0             0
     5         11            0           33             0         11             0        0            0          0             0
     6         10            0           30             0         10             0        0            0          0             0
     7          8            0           24             0          8             0        0            0          0             0
     8         10            0           30             0         10             0        0            0          0             0
     9         11            0           33             0         11             0        0            0          0             0
    10         13            0           39             0         13             0        0            0          0             0
    11         12            0           36             0         12             0        0            0          0             0
    12         11            0           33             0         11             0        0            0          0             0
    13         11            0           33             0         11             0        0            0          0             0
    14         12            0           36             0         12             0        0            0          0             0
    15         12            0           36             0         12             0        0            0          0             0
    16         10            0           30             0         10             0        0            0          0             0
    17         11            0           33             0         11             0        0            0          0             0
    18         12            0           36             0         12             0        0            0          0             0
    19         12            0           36             0         12             0        0            0          0             0
    20         10            0           30             0         10             0        0            0          0             0
    21         12            0           36             0         12             0        0            0          0             0
    22         10            0           30             0         10             0        0            0          0             0
    23         10            0           30             0         10             0        0            0          0             0
    24         12            0           36             0         12             0        0            0          0             0
    25         11            0           33             0         11             0        0            0          0             0
    26         10            0           30             0         10             0        0            0          0             0
    27         10            0           30             0         10             0        0            0          0             0
    28         11            0           33             0         11             0        0            0          0             0
    29         13            0           39             0         13             0        0            0          0             0
    30         14            0           42             0         14             0        0            0          0             0
    31          9            0           27             0          9             0        0            0          0             0
    32         11            0           33             0         11             0        0            0          0             0
    33          8            0           24             0          8             0        0            0          0             0
    34         11            0           33             0         11             0        0            0          0             0
    35         14            0           42             0         14             0        0            0          0             0
    36         15            0           45             0         15             0        0            0          0             0
    37         13            0           39             0         13             0        0            0          0             0
    38         12            0           36             0         12             0        0            0          0             0
    39         11            0           33             0         11             0        0            0          0             0
    40         13            0           39             0         13             0        0            0          0             0
    41         10            0           30             0         10             0        0            0          0             0
    42         12            0           36             0         12             0        0            0          0             0
    43         12            0           36             0         12             0        0            0          0             0
    44         13            0           39             0         13             0        0            0          0             0
    45         11            0           33             0         11             0        0            0          0             0
    46         12            0           36             0         12             0        0            0          0             0
    47         12            0           36             0         12             0        0            0          0             0
    48         14            0           42             0         14             0        0            0          0             0
    49         11            0           33             0         11             0        0            0          0             0
