# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0         30            0           90             0         30             0        0            0          0             0
     1         29            0           87             0         29             0        0            0          0             0
     2         29            0           87             0         29             0        0            0          0             0
     3         29            0           87             0         29             0        0            0          0             0
     4         29            0           87             0         29             0        0            0          0             0
     5         28            0           84             0         28             0        0            0          0             0
     6         30            0           90             0         30             0        0            0          0             0
     7         28            0           84             0         28             0        0            0          0             0
     8         31            0           93             0         31             0        0            0          0             0
     9         30            0           90             0         30             0        0            0          0             0
    10         29            0           87             0         29             0        0            0          0             0
    11         28            0           84             0         28             0        0            0          0             0
    12         31            0           93             0         31             0        0            0          0             0
    13         30            0           90             0         30             0        0            0          0             0
    14         33            0           99             0         33             0        0            0          0             0
    15         27            0           81             0         27             0        0            0          0             0
    16         29            0           87             0         29             0        0            0          0             0
    17         32            0           96             0         32             0        0            0          0             0
    18         31            0           93             0         31             0        0            0          0             0
    19         30            0           90             0         30             0        0            0          0             0
    20         28            0           84             0         28             0        0            0          0             0
    21         28            0           84             0         28             0        0            0          0             0
    22         27            0           81             0         27             0        0            0          0             0
    23         29            0           87             0         29             0        0            0          0             0
    24         31            0           93             0         31             0        0            0          0             0
    25         31            0           93             0         31             0        0            0          0             0
    26         30            0           90             0         30             0        0            0          0             0
    27         27            0           81             0         27             0        0            0          0             0
    28         32            0           96             0         32             0        0            0          0             0
    29         33            0           99             0         33             0        0            0          0             0
    30         31            0           93             0         31             0        0            0          0             0
    31         29            0           87             0         29             0        0            0          0             0
    32         33            0           99             0         33             0        0            0          0             0
    33         29            0           87             0         29             0        0            0          0             0
    34         31            0           93             0         31             0        0            0          0             0
    35         32            0           96             0         32             0        0            0          0             0
    36         33            0           99             0         33             0        0            0          0             0
    37         32            0           96             0         32             0        0            0          0             0
    38         29            0           87             0         29             0        0            0          0             0
    39         27            0           81             0         27             0        0            0          0             0
    40         30            0           90             0         30             0        0            0          0             0
    41         28            0           84             0         28             0        0            0          0             0
    42         33            0           99             0         33             0        0            0          0             0
    43         33            0           99             0         33             0        0            0          0             0
    44         29            0           87             0         29             0        0            0          0             0
    45         30            0           90             0         30             0        0            0          0             0
    46         31            0           93             0         31             0        0            0          0             0
    47         31            0           93             0         31             0        0            0          0             0
    48         34            0          102             0         34             0        0            0          0             0
    49         31            0           93             0         31             0        0            0          0             0
