# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0        788            0         2356             0        784             0        4            0          0             0
     1        808            0         2416             0        804             0        4            0          0             0
     2        811            0         2423             0        806             0        5            0          0             0
     3        803            0         2399             0        798             0        5            0          0             0
     4        807            0         2411             0        802             0        5            0          0             0
     5        808            0         2414             0        803             0        5            0          0             0
     6        798            0         2384             0        793             0        5            0          0             0
     7        782            0         2336             0        777             0        5            0          0             0
     8        818            0         2444             0        813             0        5            0          0             0
     9        784            0         2342             0        779             0        5            0          0             0
    10        794            0         2372             0        789             0        5            0          0             0
    11        776            0         2318             0        771             0        5            0          0             0
    12        808            0         2414             0        803             0        5            0          0             0
    13        812            0         2426             0        807             0        5            0          0             0
    14        811            0         2423             0        806             0        5            0          0             0
    15        783            0         2339             0        778             0        5            0          0             0
    16        797            0         2383             0        793             0        4            0          0             0
    17        799            0         2387             0        794             0        5            0          0             0
    18        792            0         2366             0        787             0        5            0          0             0
    19        821            0         2453             0        816             0        5            0          0             0
    20        791            0         2363             0        786             0        5            0          0             0
    21        798            0         2386             0        794             0        4            0          0             0
    22        813            0         2431             0        809             0        4            0          0             0
    23        804            0         2406             0        801             0        3            0          0             0
    24        807            0         2415             0        804             0        3            0          0             0
    25        796            0         2382             0        793             0        3            0          0             0
    26        813            0         2431             0        809             0        4            0          0             0
    27        797            0         2383             0        793             0        4            0          0             0
    28        812            0         2428             0        808             0        4            0          0             0
    29        813            0         2429             0        808             0        5            0          0             0
    30        812            0         2426             0        807             0        5            0          0             0
    31        787            0         2351             0        782             0        5            0          0             0
    32        806            0         2408             0        801             0        5            0          0             0
    33        790            0         2360             0        785             0        5            0          0             0
    34        803            0         2401             0        799             0        4            0          0             0
    35        814            0         2434             0        810             0        4            0          0             0
    36        808            0         2416             0        804             0        4            0          0             0
    37        788            0         2358             0        785             0        3            0          0             0
    38        806            0         2412             0        803             0        3            0          0             0
    39        808            0         2416             0        804             0        4            0          0             0
    40        801            0         2393             0        796             0        5            0          0             0
    41        809            0         2417             0        804             0        5            0          0             0
    42        793            0         2369             0        788             0        5            0          0             0
    43        799            0         2387             0        794             0        5            0          0             0
    44        811            0         2423             0        806             0        5            0          0             0
    45        812            0         2426             0        807             0        5            0          0             0
    46        806            0         2408             0        801             0        5            0          0             0
    47        802            0         2396             0        797             0        5            0          0             0
    48        818            0         2444             0        813             0        5            0          0             0
    49        800            0         2390             0        795             0        5            0          0             0
