# Average wrapping statistics vs. solvent cutoff
#Cutoff(Å)  Avg_Total_Res  Avg_Wrapped_Res  Avg_Total_Atoms  Avg_Wrapped_Atoms  Avg_Water_Res  Avg_Wrapped_Water  Avg_Ion_Res  Avg_Wrapped_Ions  Avg_Other_Res  Avg_Wrapped_Other
     1.0         1320.0              0.0          19460.0                0.0            0.0                0.0          0.0              0.0            0.0                0.0
     3.0         1320.0              0.0          19460.0                0.0            0.0                0.0          0.0              0.0            0.0                0.0
     5.0         1320.0              0.0          19460.0                0.0            0.0                0.0          0.0              0.0            0.0                0.0
     7.0         1320.0              0.0          19460.0                0.0            0.0                0.0          0.0              0.0            0.0                0.0
     9.0          792.4              0.0          11677.2                0.0            0.4                0.0          0.0              0.0            0.0                0.0
    11.0            2.6              0.0              7.8                0.0            2.6                0.0          0.0              0.0            0.0                0.0
    13.0           11.3              0.0             34.0                0.0           11.3                0.0          0.0              0.0            0.0                0.0
    15.0           30.1              0.0             90.3                0.0           30.1                0.0          0.0              0.0            0.0                0.0
    17.0           68.7              0.0            206.0                0.0           68.7                0.0          0.0              0.0            0.0                0.0
    19.0          142.4              0.0            427.0                0.0          142.3                0.0          0.1              0.0            0.0                0.0
    21.0          284.2              0.0            849.9                0.0          282.8                0.0          1.4              0.0            0.0                0.0
    23.0          503.0              0.0           1502.9                0.0          500.0                0.0          3.0              0.0            0.0                0.0
    25.0          802.3              0.0           2397.9                0.0          797.8                0.0          4.6              0.0            0.0                0.0
    27.0         1190.9              0.0           3562.3                0.0         1185.7                0.0          5.1              0.0            0.0                0.0
    29.0         1661.7              0.0           4972.7                0.0         1655.5                0.0          6.1              0.0            0.0                0.0
