# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0        278            0          832             0        277             0        1            0          0             0
     1        281            0          841             0        280             0        1            0          0             0
     2        292            0          872             0        290             0        2            0          0             0
     3        286            0          854             0        284             0        2            0          0             0
     4        284            0          848             0        282             0        2            0          0             0
     5        290            0          866             0        288             0        2            0          0             0
     6        292            0          872             0        290             0        2            0          0             0
     7        279            0          833             0        277             0        2            0          0             0
     8        295            0          881             0        293             0        2            0          0             0
     9        268            0          800             0        266             0        2            0          0             0
    10        279            0          833             0        277             0        2            0          0             0
    11        267            0          797             0        265             0        2            0          0             0
    12        283            0          845             0        281             0        2            0          0             0
    13        284            0          848             0        282             0        2            0          0             0
    14        279            0          833             0        277             0        2            0          0             0
    15        274            0          820             0        273             0        1            0          0             0
    16        278            0          832             0        277             0        1            0          0             0
    17        291            0          871             0        290             0        1            0          0             0
    18        292            0          874             0        291             0        1            0          0             0
    19        299            0          895             0        298             0        1            0          0             0
    20        280            0          838             0        279             0        1            0          0             0
    21        287            0          859             0        286             0        1            0          0             0
    22        289            0          865             0        288             0        1            0          0             0
    23        287            0          859             0        286             0        1            0          0             0
    24        286            0          856             0        285             0        1            0          0             0
    25        281            0          841             0        280             0        1            0          0             0
    26        282            0          844             0        281             0        1            0          0             0
    27        281            0          841             0        280             0        1            0          0             0
    28        293            0          877             0        292             0        1            0          0             0
    29        291            0          871             0        290             0        1            0          0             0
    30        280            0          838             0        279             0        1            0          0             0
    31        281            0          841             0        280             0        1            0          0             0
    32        276            0          826             0        275             0        1            0          0             0
    33        283            0          847             0        282             0        1            0          0             0
    34        289            0          865             0        288             0        1            0          0             0
    35        293            0          877             0        292             0        1            0          0             0
    36        290            0          868             0        289             0        1            0          0             0
    37        283            0          847             0        282             0        1            0          0             0
    38        282            0          844             0        281             0        1            0          0             0
    39        280            0          838             0        279             0        1            0          0             0
    40        267            0          799             0        266             0        1            0          0             0
    41        287            0          857             0        285             0        2            0          0             0
    42        283            0          847             0        282             0        1            0          0             0
    43        298            0          890             0        296             0        2            0          0             0
    44        292            0          874             0        291             0        1            0          0             0
    45        285            0          851             0        283             0        2            0          0             0
    46        274            0          818             0        272             0        2            0          0             0
    47        291            0          869             0        289             0        2            0          0             0
    48        291            0          869             0        289             0        2            0          0             0
    49        278            0          830             0        276             0        2            0          0             0
