# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0        283            0          845             0        281             0        2            0          0             0
     1        289            0          863             0        287             0        2            0          0             0
     2        293            0          875             0        291             0        2            0          0             0
     3        299            0          893             0        297             0        2            0          0             0
     4        298            0          890             0        296             0        2            0          0             0
     5        292            0          872             0        290             0        2            0          0             0
     6        299            0          893             0        297             0        2            0          0             0
     7        280            0          836             0        278             0        2            0          0             0
     8        285            0          851             0        283             0        2            0          0             0
     9        269            0          803             0        267             0        2            0          0             0
    10        288            0          858             0        285             0        3            0          0             0
    11        265            0          789             0        262             0        3            0          0             0
    12        294            0          876             0        291             0        3            0          0             0
    13        286            0          852             0        283             0        3            0          0             0
    14        283            0          843             0        280             0        3            0          0             0
    15        277            0          825             0        274             0        3            0          0             0
    16        278            0          830             0        276             0        2            0          0             0
    17        275            0          821             0        273             0        2            0          0             0
    18        276            0          822             0        273             0        3            0          0             0
    19        285            0          849             0        282             0        3            0          0             0
    20        281            0          837             0        278             0        3            0          0             0
    21        283            0          845             0        281             0        2            0          0             0
    22        291            0          869             0        289             0        2            0          0             0
    23        278            0          830             0        276             0        2            0          0             0
    24        291            0          869             0        289             0        2            0          0             0
    25        284            0          848             0        282             0        2            0          0             0
    26        286            0          854             0        284             0        2            0          0             0
    27        288            0          860             0        286             0        2            0          0             0
    28        281            0          839             0        279             0        2            0          0             0
    29        295            0          881             0        293             0        2            0          0             0
    30        297            0          887             0        295             0        2            0          0             0
    31        278            0          830             0        276             0        2            0          0             0
    32        290            0          866             0        288             0        2            0          0             0
    33        288            0          860             0        286             0        2            0          0             0
    34        277            0          827             0        275             0        2            0          0             0
    35        302            0          902             0        300             0        2            0          0             0
    36        295            0          881             0        293             0        2            0          0             0
    37        289            0          863             0        287             0        2            0          0             0
    38        288            0          860             0        286             0        2            0          0             0
    39        283            0          845             0        281             0        2            0          0             0
    40        275            0          819             0        272             0        3            0          0             0
    41        275            0          819             0        272             0        3            0          0             0
    42        288            0          858             0        285             0        3            0          0             0
    43        291            0          867             0        288             0        3            0          0             0
    44        278            0          828             0        275             0        3            0          0             0
    45        294            0          876             0        291             0        3            0          0             0
    46        291            0          867             0        288             0        3            0          0             0
    47        285            0          849             0        282             0        3            0          0             0
    48        285            0          849             0        282             0        3            0          0             0
    49        285            0          849             0        282             0        3            0          0             0
