# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0         78            0          234             0         78             0        0            0          0             0
     1         78            0          234             0         78             0        0            0          0             0
     2         79            0          235             0         78             0        1            0          0             0
     3         79            0          235             0         78             0        1            0          0             0
     4         79            0          235             0         78             0        1            0          0             0
     5         76            0          226             0         75             0        1            0          0             0
     6         78            0          232             0         77             0        1            0          0             0
     7         71            0          211             0         70             0        1            0          0             0
     8         79            0          235             0         78             0        1            0          0             0
     9         71            0          211             0         70             0        1            0          0             0
    10         72            0          214             0         71             0        1            0          0             0
    11         70            0          208             0         69             0        1            0          0             0
    12         79            0          235             0         78             0        1            0          0             0
    13         73            0          217             0         72             0        1            0          0             0
    14         74            0          222             0         74             0        0            0          0             0
    15         68            0          204             0         68             0        0            0          0             0
    16         73            0          217             0         72             0        1            0          0             0
    17         72            0          216             0         72             0        0            0          0             0
    18         71            0          213             0         71             0        0            0          0             0
    19         80            0          240             0         80             0        0            0          0             0
    20         72            0          216             0         72             0        0            0          0             0
    21         73            0          219             0         73             0        0            0          0             0
    22         70            0          210             0         70             0        0            0          0             0
    23         76            0          228             0         76             0        0            0          0             0
    24         77            0          231             0         77             0        0            0          0             0
    25         74            0          222             0         74             0        0            0          0             0
    26         73            0          219             0         73             0        0            0          0             0
    27         73            0          219             0         73             0        0            0          0             0
    28         75            0          225             0         75             0        0            0          0             0
    29         78            0          232             0         77             0        1            0          0             0
    30         71            0          213             0         71             0        0            0          0             0
    31         79            0          235             0         78             0        1            0          0             0
    32         75            0          225             0         75             0        0            0          0             0
    33         72            0          216             0         72             0        0            0          0             0
    34         75            0          225             0         75             0        0            0          0             0
    35         76            0          228             0         76             0        0            0          0             0
    36         77            0          231             0         77             0        0            0          0             0
    37         71            0          213             0         71             0        0            0          0             0
    38         78            0          234             0         78             0        0            0          0             0
    39         70            0          210             0         70             0        0            0          0             0
    40         71            0          213             0         71             0        0            0          0             0
    41         68            0          204             0         68             0        0            0          0             0
    42         76            0          226             0         75             0        1            0          0             0
    43         73            0          219             0         73             0        0            0          0             0
    44         73            0          219             0         73             0        0            0          0             0
    45         76            0          228             0         76             0        0            0          0             0
    46         74            0          222             0         74             0        0            0          0             0
    47         77            0          231             0         77             0        0            0          0             0
    48         70            0          210             0         70             0        0            0          0             0
    49         72            0          216             0         72             0        0            0          0             0
