# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0          1            0            3             0          1             0        0            0          0             0
     1          2            0            6             0          2             0        0            0          0             0
     2          2            0            6             0          2             0        0            0          0             0
     3          3            0            9             0          3             0        0            0          0             0
     4          2            0            6             0          2             0        0            0          0             0
     5          2            0            6             0          2             0        0            0          0             0
     6          3            0            9             0          3             0        0            0          0             0
     7       1320            0        19460             0          0             0        0            0          0             0     8          2            0            6             0          2             0        0            0          0             0
     9          3            0            9             0          3             0        0            0          0             0
    10          2            0            6             0          2             0        0            0          0             0
    11          2            0            6             0          2             0        0            0          0             0
    12          3            0            9             0          3             0        0            0          0             0
    13          3            0            9             0          3             0        0            0          0             0
    14          2            0            6             0          2             0        0            0          0             0
    15          1            0            3             0          1             0        0            0          0             0
    16          2            0            6             0          2             0        0            0          0             0
    17          3            0            9             0          3             0        0            0          0             0
    18          4            0           12             0          4             0        0            0          0             0
    19          3            0            9             0          3             0        0            0          0             0
    20          1            0            3             0          1             0        0            0          0             0
    21          1            0            3             0          1             0        0            0          0             0
    22       1320            0        19460             0          0             0        0            0          0             0    23       1320            0        19460             0          0             0        0            0          0             0    24          3            0            9             0          3             0        0            0          0             0
    25          1            0            3             0          1             0        0            0          0             0
    26          3            0            9             0          3             0        0            0          0             0
    27       1320            0        19460             0          0             0        0            0          0             0    28          3            0            9             0          3             0        0            0          0             0
    29          3            0            9             0          3             0        0            0          0             0
    30          4            0           12             0          4             0        0            0          0             0
    31          3            0            9             0          3             0        0            0          0             0
    32       1320            0        19460             0          0             0        0            0          0             0    33          1            0            3             0          1             0        0            0          0             0
    34          1            0            3             0          1             0        0            0          0             0
    35          2            0            6             0          2             0        0            0          0             0
    36          3            0            9             0          3             0        0            0          0             0
    37          3            0            9             0          3             0        0            0          0             0
    38          1            0            3             0          1             0        0            0          0             0
    39       1320            0        19460             0          0             0        0            0          0             0    40          1            0            3             0          1             0        0            0          0             0
    41       1320            0        19460             0          0             0        0            0          0             0    42       1320            0        19460             0          0             0        0            0          0             0    43          1            0            3             0          1             0        0            0          0             0
    44          3            0            9             0          3             0        0            0          0             0
    45          2            0            6             0          2             0        0            0          0             0
    46          3            0            9             0          3             0        0            0          0             0
    47          3            0            9             0          3             0        0            0          0             0
    48          2            0            6             0          2             0        0            0          0             0
    49          1            0            3             0          1             0        0            0          0             0
