# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0        200            0          596             0        198             0        2            0          0             0
     1        208            0          620             0        206             0        2            0          0             0
     2        206            0          614             0        204             0        2            0          0             0
     3        202            0          602             0        200             0        2            0          0             0
     4        203            0          605             0        201             0        2            0          0             0
     5        203            0          605             0        201             0        2            0          0             0
     6        209            0          623             0        207             0        2            0          0             0
     7        195            0          581             0        193             0        2            0          0             0
     8        207            0          617             0        205             0        2            0          0             0
     9        186            0          554             0        184             0        2            0          0             0
    10        196            0          584             0        194             0        2            0          0             0
    11        181            0          539             0        179             0        2            0          0             0
    12        202            0          600             0        199             0        3            0          0             0
    13        194            0          576             0        191             0        3            0          0             0
    14        192            0          572             0        190             0        2            0          0             0
    15        185            0          551             0        183             0        2            0          0             0
    16        200            0          596             0        198             0        2            0          0             0
    17        184            0          548             0        182             0        2            0          0             0
    18        190            0          566             0        188             0        2            0          0             0
    19        202            0          602             0        200             0        2            0          0             0
    20        198            0          590             0        196             0        2            0          0             0
    21        197            0          587             0        195             0        2            0          0             0
    22        196            0          584             0        194             0        2            0          0             0
    23        191            0          571             0        190             0        1            0          0             0
    24        199            0          595             0        198             0        1            0          0             0
    25        197            0          589             0        196             0        1            0          0             0
    26        189            0          563             0        187             0        2            0          0             0
    27        194            0          578             0        192             0        2            0          0             0
    28        198            0          590             0        196             0        2            0          0             0
    29        202            0          602             0        200             0        2            0          0             0
    30        208            0          620             0        206             0        2            0          0             0
    31        198            0          590             0        196             0        2            0          0             0
    32        197            0          587             0        195             0        2            0          0             0
    33        202            0          602             0        200             0        2            0          0             0
    34        197            0          587             0        195             0        2            0          0             0
    35        207            0          617             0        205             0        2            0          0             0
    36        211            0          629             0        209             0        2            0          0             0
    37        207            0          619             0        206             0        1            0          0             0
    38        201            0          599             0        199             0        2            0          0             0
    39        191            0          569             0        189             0        2            0          0             0
    40        187            0          557             0        185             0        2            0          0             0
    41        184            0          546             0        181             0        3            0          0             0
    42        185            0          551             0        183             0        2            0          0             0
    43        195            0          581             0        193             0        2            0          0             0
    44        196            0          584             0        194             0        2            0          0             0
    45        201            0          597             0        198             0        3            0          0             0
    46        201            0          597             0        198             0        3            0          0             0
    47        201            0          597             0        198             0        3            0          0             0
    48        198            0          588             0        195             0        3            0          0             0
    49        202            0          600             0        199             0        3            0          0             0
