# Average electric field magnitude vs. solvent cutoff
#Cutoff(Å)  AvgMagnitude(MV/cm)  StdDev(MV/cm)
     1.0           11.701361      4.679649
     3.0           11.701361      4.679649
     5.0           10.579157      4.049664
     7.0           10.747106      4.851689
     9.0           10.591023      4.003363
    11.0           11.360561      3.942081
    13.0            9.806876      4.043487
    15.0           13.104429      3.973123
    17.0           13.650886      4.099783
    19.0           13.513302      3.711069
    21.0           13.614002      3.582613
    23.0           14.383282      3.465821
    25.0           14.684725      3.302055
    27.0           14.993389      3.036982
    29.0           16.063841      3.163570
