# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0        418            0         1250             0        416             0        2            0          0             0
     1        416            0         1244             0        414             0        2            0          0             0
     2        427            0         1277             0        425             0        2            0          0             0
     3        430            0         1286             0        428             0        2            0          0             0
     4        428            0         1280             0        426             0        2            0          0             0
     5        434            0         1298             0        432             0        2            0          0             0
     6        424            0         1268             0        422             0        2            0          0             0
     7        403            0         1205             0        401             0        2            0          0             0
     8        415            0         1241             0        413             0        2            0          0             0
     9        396            0         1182             0        393             0        3            0          0             0
    10        435            0         1299             0        432             0        3            0          0             0
    11        406            0         1212             0        403             0        3            0          0             0
    12        421            0         1257             0        418             0        3            0          0             0
    13        405            0         1209             0        402             0        3            0          0             0
    14        415            0         1239             0        412             0        3            0          0             0
    15        402            0         1200             0        399             0        3            0          0             0
    16        399            0         1191             0        396             0        3            0          0             0
    17        407            0         1215             0        404             0        3            0          0             0
    18        398            0         1188             0        395             0        3            0          0             0
    19        417            0         1245             0        414             0        3            0          0             0
    20        410            0         1224             0        407             0        3            0          0             0
    21        410            0         1224             0        407             0        3            0          0             0
    22        422            0         1260             0        419             0        3            0          0             0
    23        413            0         1235             0        411             0        2            0          0             0
    24        415            0         1241             0        413             0        2            0          0             0
    25        395            0         1181             0        393             0        2            0          0             0
    26        428            0         1278             0        425             0        3            0          0             0
    27        410            0         1226             0        408             0        2            0          0             0
    28        408            0         1220             0        406             0        2            0          0             0
    29        414            0         1236             0        411             0        3            0          0             0
    30        422            0         1262             0        420             0        2            0          0             0
    31        410            0         1226             0        408             0        2            0          0             0
    32        416            0         1242             0        413             0        3            0          0             0
    33        423            0         1263             0        420             0        3            0          0             0
    34        404            0         1208             0        402             0        2            0          0             0
    35        427            0         1277             0        425             0        2            0          0             0
    36        438            0         1308             0        435             0        3            0          0             0
    37        426            0         1272             0        423             0        3            0          0             0
    38        429            0         1283             0        427             0        2            0          0             0
    39        413            0         1235             0        411             0        2            0          0             0
    40        399            0         1191             0        396             0        3            0          0             0
    41        396            0         1182             0        393             0        3            0          0             0
    42        410            0         1224             0        407             0        3            0          0             0
    43        408            0         1218             0        405             0        3            0          0             0
    44        409            0         1221             0        406             0        3            0          0             0
    45        418            0         1248             0        415             0        3            0          0             0
    46        422            0         1260             0        419             0        3            0          0             0
    47        414            0         1236             0        411             0        3            0          0             0
    48        415            0         1239             0        412             0        3            0          0             0
    49        417            0         1245             0        414             0        3            0          0             0
