# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0         12            0           36             0         12             0        0            0          0             0
     1          9            0           27             0          9             0        0            0          0             0
     2          9            0           27             0          9             0        0            0          0             0
     3          9            0           27             0          9             0        0            0          0             0
     4          8            0           24             0          8             0        0            0          0             0
     5         10            0           30             0         10             0        0            0          0             0
     6          9            0           27             0          9             0        0            0          0             0
     7          9            0           27             0          9             0        0            0          0             0
     8          9            0           27             0          9             0        0            0          0             0
     9         11            0           33             0         11             0        0            0          0             0
    10         10            0           30             0         10             0        0            0          0             0
    11          8            0           24             0          8             0        0            0          0             0
    12          8            0           24             0          8             0        0            0          0             0
    13         10            0           30             0         10             0        0            0          0             0
    14         10            0           30             0         10             0        0            0          0             0
    15          8            0           24             0          8             0        0            0          0             0
    16         10            0           30             0         10             0        0            0          0             0
    17          8            0           24             0          8             0        0            0          0             0
    18          9            0           27             0          9             0        0            0          0             0
    19          9            0           27             0          9             0        0            0          0             0
    20         10            0           30             0         10             0        0            0          0             0
    21          8            0           24             0          8             0        0            0          0             0
    22          9            0           27             0          9             0        0            0          0             0
    23          9            0           27             0          9             0        0            0          0             0
    24         10            0           30             0         10             0        0            0          0             0
    25          8            0           24             0          8             0        0            0          0             0
    26          8            0           24             0          8             0        0            0          0             0
    27          9            0           27             0          9             0        0            0          0             0
    28         11            0           33             0         11             0        0            0          0             0
    29         10            0           30             0         10             0        0            0          0             0
    30         10            0           30             0         10             0        0            0          0             0
    31          8            0           24             0          8             0        0            0          0             0
    32         10            0           30             0         10             0        0            0          0             0
    33         10            0           30             0         10             0        0            0          0             0
    34          9            0           27             0          9             0        0            0          0             0
    35          8            0           24             0          8             0        0            0          0             0
    36         10            0           30             0         10             0        0            0          0             0
    37         10            0           30             0         10             0        0            0          0             0
    38         10            0           30             0         10             0        0            0          0             0
    39         11            0           33             0         11             0        0            0          0             0
    40          9            0           27             0          9             0        0            0          0             0
    41          9            0           27             0          9             0        0            0          0             0
    42         10            0           30             0         10             0        0            0          0             0
    43         11            0           33             0         11             0        0            0          0             0
    44          9            0           27             0          9             0        0            0          0             0
    45          9            0           27             0          9             0        0            0          0             0
    46         10            0           30             0         10             0        0            0          0             0
    47          9            0           27             0          9             0        0            0          0             0
    48         11            0           33             0         11             0        0            0          0             0
    49          8            0           24             0          8             0        0            0          0             0
