# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0          3            0            9             0          3             0        0            0          0             0
     1          3            0            9             0          3             0        0            0          0             0
     2          1            0            3             0          1             0        0            0          0             0
     3       1320            0        19460             0          0             0        0            0          0             0     4          1            0            3             0          1             0        0            0          0             0
     5          1            0            3             0          1             0        0            0          0             0
     6       1320            0        19460             0          0             0        0            0          0             0     7          2            0            6             0          2             0        0            0          0             0
     8          2            0            6             0          2             0        0            0          0             0
     9          2            0            6             0          2             0        0            0          0             0
    10          2            0            6             0          2             0        0            0          0             0
    11          2            0            6             0          2             0        0            0          0             0
    12          3            0            9             0          3             0        0            0          0             0
    13          1            0            3             0          1             0        0            0          0             0
    14          3            0            9             0          3             0        0            0          0             0
    15          2            0            6             0          2             0        0            0          0             0
    16          2            0            6             0          2             0        0            0          0             0
    17          1            0            3             0          1             0        0            0          0             0
    18          2            0            6             0          2             0        0            0          0             0
    19       1320            0        19460             0          0             0        0            0          0             0    20          1            0            3             0          1             0        0            0          0             0
    21          1            0            3             0          1             0        0            0          0             0
    22          2            0            6             0          2             0        0            0          0             0
    23          2            0            6             0          2             0        0            0          0             0
    24          1            0            3             0          1             0        0            0          0             0
    25          3            0            9             0          3             0        0            0          0             0
    26          2            0            6             0          2             0        0            0          0             0
    27          3            0            9             0          3             0        0            0          0             0
    28          1            0            3             0          1             0        0            0          0             0
    29          4            0           12             0          4             0        0            0          0             0
    30          2            0            6             0          2             0        0            0          0             0
    31          1            0            3             0          1             0        0            0          0             0
    32          4            0           12             0          4             0        0            0          0             0
    33          3            0            9             0          3             0        0            0          0             0
    34          3            0            9             0          3             0        0            0          0             0
    35          1            0            3             0          1             0        0            0          0             0
    36          4            0           12             0          4             0        0            0          0             0
    37          1            0            3             0          1             0        0            0          0             0
    38          1            0            3             0          1             0        0            0          0             0
    39          2            0            6             0          2             0        0            0          0             0
    40          1            0            3             0          1             0        0            0          0             0
    41       1320            0        19460             0          0             0        0            0          0             0    42          2            0            6             0          2             0        0            0          0             0
    43       1320            0        19460             0          0             0        0            0          0             0    44          2            0            6             0          2             0        0            0          0             0
    45          2            0            6             0          2             0        0            0          0             0
    46          2            0            6             0          2             0        0            0          0             0
    47          2            0            6             0          2             0        0            0          0             0
    48          1            0            3             0          1             0        0            0          0             0
    49          2            0            6             0          2             0        0            0          0             0
