# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0         50            0          148             0         49             0        1            0          0             0
     1         51            0          151             0         50             0        1            0          0             0
     2         49            0          145             0         48             0        1            0          0             0
     3         48            0          144             0         48             0        0            0          0             0
     4         53            0          159             0         53             0        0            0          0             0
     5         48            0          144             0         48             0        0            0          0             0
     6         54            0          160             0         53             0        1            0          0             0
     7         49            0          145             0         48             0        1            0          0             0
     8         49            0          145             0         48             0        1            0          0             0
     9         54            0          160             0         53             0        1            0          0             0
    10         50            0          150             0         50             0        0            0          0             0
    11         47            0          139             0         46             0        1            0          0             0
    12         49            0          145             0         48             0        1            0          0             0
    13         52            0          154             0         51             0        1            0          0             0
    14         52            0          154             0         51             0        1            0          0             0
    15         53            0          157             0         52             0        1            0          0             0
    16         51            0          151             0         50             0        1            0          0             0
    17         54            0          160             0         53             0        1            0          0             0
    18         50            0          148             0         49             0        1            0          0             0
    19         52            0          154             0         51             0        1            0          0             0
    20         50            0          148             0         49             0        1            0          0             0
    21         48            0          142             0         47             0        1            0          0             0
    22         56            0          166             0         55             0        1            0          0             0
    23         55            0          163             0         54             0        1            0          0             0
    24         51            0          151             0         50             0        1            0          0             0
    25         49            0          145             0         48             0        1            0          0             0
    26         51            0          153             0         51             0        0            0          0             0
    27         56            0          166             0         55             0        1            0          0             0
    28         51            0          151             0         50             0        1            0          0             0
    29         53            0          157             0         52             0        1            0          0             0
    30         50            0          148             0         49             0        1            0          0             0
    31         49            0          145             0         48             0        1            0          0             0
    32         55            0          163             0         54             0        1            0          0             0
    33         52            0          154             0         51             0        1            0          0             0
    34         50            0          148             0         49             0        1            0          0             0
    35         53            0          157             0         52             0        1            0          0             0
    36         54            0          160             0         53             0        1            0          0             0
    37         52            0          154             0         51             0        1            0          0             0
    38         47            0          139             0         46             0        1            0          0             0
    39         52            0          154             0         51             0        1            0          0             0
    40         52            0          154             0         51             0        1            0          0             0
    41         55            0          163             0         54             0        1            0          0             0
    42         51            0          151             0         50             0        1            0          0             0
    43         52            0          154             0         51             0        1            0          0             0
    44         58            0          172             0         57             0        1            0          0             0
    45         58            0          172             0         57             0        1            0          0             0
    46         51            0          151             0         50             0        1            0          0             0
    47         58            0          172             0         57             0        1            0          0             0
    48         55            0          163             0         54             0        1            0          0             0
    49         57            0          169             0         56             0        1            0          0             0
