# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0        614            0         1836             0        611             0        3            0          0             0
     1        643            0         1921             0        639             0        4            0          0             0
     2        623            0         1861             0        619             0        4            0          0             0
     3        618            0         1846             0        614             0        4            0          0             0
     4        637            0         1903             0        633             0        4            0          0             0
     5        630            0         1884             0        627             0        3            0          0             0
     6        640            0         1912             0        636             0        4            0          0             0
     7        599            0         1791             0        596             0        3            0          0             0
     8        626            0         1870             0        622             0        4            0          0             0
     9        622            0         1858             0        618             0        4            0          0             0
    10        622            0         1858             0        618             0        4            0          0             0
    11        601            0         1795             0        597             0        4            0          0             0
    12        629            0         1879             0        625             0        4            0          0             0
    13        623            0         1861             0        619             0        4            0          0             0
    14        615            0         1837             0        611             0        4            0          0             0
    15        615            0         1837             0        611             0        4            0          0             0
    16        620            0         1854             0        617             0        3            0          0             0
    17        622            0         1862             0        620             0        2            0          0             0
    18        611            0         1829             0        609             0        2            0          0             0
    19        628            0         1878             0        625             0        3            0          0             0
    20        612            0         1830             0        609             0        3            0          0             0
    21        612            0         1830             0        609             0        3            0          0             0
    22        620            0         1854             0        617             0        3            0          0             0
    23        626            0         1872             0        623             0        3            0          0             0
    24        620            0         1854             0        617             0        3            0          0             0
    25        613            0         1833             0        610             0        3            0          0             0
    26        631            0         1887             0        628             0        3            0          0             0
    27        627            0         1873             0        623             0        4            0          0             0
    28        628            0         1876             0        624             0        4            0          0             0
    29        639            0         1909             0        635             0        4            0          0             0
    30        641            0         1917             0        638             0        3            0          0             0
    31        618            0         1848             0        615             0        3            0          0             0
    32        639            0         1909             0        635             0        4            0          0             0
    33        638            0         1906             0        634             0        4            0          0             0
    34        635            0         1897             0        631             0        4            0          0             0
    35        631            0         1885             0        627             0        4            0          0             0
    36        631            0         1885             0        627             0        4            0          0             0
    37        634            0         1894             0        630             0        4            0          0             0
    38        630            0         1884             0        627             0        3            0          0             0
    39        619            0         1851             0        616             0        3            0          0             0
    40        621            0         1855             0        617             0        4            0          0             0
    41        615            0         1837             0        611             0        4            0          0             0
    42        614            0         1834             0        610             0        4            0          0             0
    43        625            0         1867             0        621             0        4            0          0             0
    44        642            0         1918             0        638             0        4            0          0             0
    45        631            0         1887             0        628             0        3            0          0             0
    46        654            0         1956             0        651             0        3            0          0             0
    47        632            0         1888             0        628             0        4            0          0             0
    48        634            0         1894             0        630             0        4            0          0             0
    49        615            0         1837             0        611             0        4            0          0             0
