# Average wrapping statistics vs. solvent cutoff
#Cutoff(Å)  Avg_Total_Res  Avg_Wrapped_Res  Avg_Total_Atoms  Avg_Wrapped_Atoms  Avg_Water_Res  Avg_Wrapped_Water  Avg_Ion_Res  Avg_Wrapped_Ions  Avg_Other_Res  Avg_Wrapped_Other
     1.0         1320.0              0.0          19460.0                0.0            0.0                0.0          0.0              0.0            0.0                0.0
     3.0         1320.0              0.0          19460.0                0.0            0.0                0.0          0.0              0.0            0.0                0.0
     5.0         1320.0              0.0          19460.0                0.0            0.0                0.0          0.0              0.0            0.0                0.0
     7.0          133.8              0.0           1951.3                0.0            1.8                0.0          0.0              0.0            0.0                0.0
     9.0            9.4              0.0             28.1                0.0            9.4                0.0          0.0              0.0            0.0                0.0
    11.0           24.6              0.0             73.8                0.0           24.6                0.0          0.0              0.0            0.0                0.0
    13.0           51.9              0.0            154.0                0.0           51.0                0.0          0.9              0.0            0.0                0.0
    15.0          101.3              0.0            301.2                0.0           99.9                0.0          1.4              0.0            0.0                0.0
    17.0          174.2              0.0            518.9                0.0          172.4                0.0          1.8              0.0            0.0                0.0
    19.0          276.8              0.0            825.5                0.0          274.4                0.0          2.4              0.0            0.0                0.0
    21.0          416.4              0.0           1243.8                0.0          413.7                0.0          2.7              0.0            0.0                0.0
    23.0          625.3              0.0           1868.8                0.0          621.7                0.0          3.6              0.0            0.0                0.0
    25.0          902.5              0.0           2699.5                0.0          898.5                0.0          4.0              0.0            0.0                0.0
    27.0         1249.2              0.0           3739.1                0.0         1245.0                0.0          4.3              0.0            0.0                0.0
    29.0         1681.1              0.0           5032.5                0.0         1675.7                0.0          5.4              0.0            0.0                0.0
