#frame    X(Å)    Y(Å)    Z(Å)
0          55.700   61.490  117.300
1          56.030   61.550  117.060
2          55.890   61.510  117.360
3          55.850   61.430  117.060
4          56.090   61.370  117.250
5          55.980   62.060  117.060
6          55.930   61.500  117.130
7          55.720   61.920  116.980
8          55.840   61.940  117.150
9          55.910   61.740  116.920
10         55.850   61.810  117.090
11         55.330   61.610  117.140
12         55.610   61.960  117.120
13         55.330   61.990  117.200
14         55.090   62.020  117.150
15         55.320   61.720  116.830
16         55.330   62.260  117.140
17         55.360   62.050  116.950
18         55.080   62.230  116.880
19         54.990   62.120  117.440
20         54.760   62.510  117.180
21         54.750   62.300  116.970
22         55.060   62.190  116.910
23         55.020   62.690  117.270
24         55.210   62.330  116.870
25         55.200   62.540  116.740
26         55.150   62.340  116.880
27         55.120   62.410  116.710
28         55.250   62.730  116.830
29         55.060   62.550  116.830
30         55.460   62.210  117.140
31         55.140   62.190  117.040
32         55.160   62.150  117.050
33         55.230   62.030  116.910
34         55.340   62.350  117.020
35         55.320   62.390  117.060
36         55.460   62.500  117.060
37         55.280   62.230  117.040
38         55.110   62.380  116.880
39         55.350   62.320  117.040
40         55.090   62.350  116.710
41         55.170   62.370  117.180
42         55.260   62.210  117.000
43         55.050   62.370  117.470
44         55.090   62.320  117.350
45         54.930   62.310  117.190
46         54.920   62.380  117.010
47         55.240   62.360  117.060
48         55.110   62.330  117.160
49         54.980   61.780  117.030
