# Frame  Total_Res  Wrapped_Res  Total_Atoms  Wrapped_Atoms  Water_Res  Wrapped_Water  Ion_Res  Wrapped_Ions  Other_Res  Wrapped_Other
     0        400            0         1196             0        398             0        2            0          0             0
     1        420            0         1256             0        418             0        2            0          0             0
     2        413            0         1233             0        410             0        3            0          0             0
     3        415            0         1239             0        412             0        3            0          0             0
     4        435            0         1299             0        432             0        3            0          0             0
     5        419            0         1253             0        417             0        2            0          0             0
     6        426            0         1274             0        424             0        2            0          0             0
     7        416            0         1244             0        414             0        2            0          0             0
     8        402            0         1200             0        399             0        3            0          0             0
     9        415            0         1239             0        412             0        3            0          0             0
    10        418            0         1248             0        415             0        3            0          0             0
    11        396            0         1182             0        393             0        3            0          0             0
    12        413            0         1231             0        409             0        4            0          0             0
    13        406            0         1212             0        403             0        3            0          0             0
    14        412            0         1230             0        409             0        3            0          0             0
    15        405            0         1209             0        402             0        3            0          0             0
    16        400            0         1196             0        398             0        2            0          0             0
    17        413            0         1235             0        411             0        2            0          0             0
    18        411            0         1229             0        409             0        2            0          0             0
    19        428            0         1280             0        426             0        2            0          0             0
    20        417            0         1247             0        415             0        2            0          0             0
    21        416            0         1242             0        413             0        3            0          0             0
    22        426            0         1274             0        424             0        2            0          0             0
    23        420            0         1258             0        419             0        1            0          0             0
    24        416            0         1246             0        415             0        1            0          0             0
    25        422            0         1262             0        420             0        2            0          0             0
    26        415            0         1239             0        412             0        3            0          0             0
    27        412            0         1232             0        410             0        2            0          0             0
    28        421            0         1257             0        418             0        3            0          0             0
    29        430            0         1284             0        427             0        3            0          0             0
    30        423            0         1263             0        420             0        3            0          0             0
    31        413            0         1233             0        410             0        3            0          0             0
    32        424            0         1266             0        421             0        3            0          0             0
    33        400            0         1194             0        397             0        3            0          0             0
    34        430            0         1284             0        427             0        3            0          0             0
    35        425            0         1269             0        422             0        3            0          0             0
    36        422            0         1260             0        419             0        3            0          0             0
    37        423            0         1263             0        420             0        3            0          0             0
    38        415            0         1239             0        412             0        3            0          0             0
    39        414            0         1236             0        411             0        3            0          0             0
    40        399            0         1191             0        396             0        3            0          0             0
    41        408            0         1218             0        405             0        3            0          0             0
    42        402            0         1200             0        399             0        3            0          0             0
    43        424            0         1266             0        421             0        3            0          0             0
    44        432            0         1290             0        429             0        3            0          0             0
    45        426            0         1274             0        424             0        2            0          0             0
    46        429            0         1281             0        426             0        3            0          0             0
    47        425            0         1269             0        422             0        3            0          0             0
    48        416            0         1240             0        412             0        4            0          0             0
    49        412            0         1228             0        408             0        4            0          0             0
